Pot #,Location,Genotype,Treatment,Dead_0,Treat
70,Portugal,PI 493293,PT-Frizeta2,0,Soil
2,France ,W6 5326,PT-MRMtr1,0,Soil
50,Spain,PI 319034,FL-Rivercrest2,0,Soil
201,Australia,PI 197336,FL-Rivercrest2,1,Soil
177,Portugal,PI 493291,Rhizobia,1,WSM
258,California,Mt. Wilson-4,FL-Polatka1,0,Soil
69,Portugal,PI 493293,PT-GilNS2,0,Soil
7,France ,W6 5326,PT-GilNS2,0,Soil
212,Australia,W6 5527,PT-MRMtr1,1,Soil
33,Spain,PI 319034,PT-CMNS4,0,Soil
298,Florida,Polatka-3,Buffer,1,Buffer
318,Chile,PI 368958,FL-Polatka1,0,Soil
122,Italy,W6 5595,PT-MRMtr1,0,Soil
327,Chile,PI 368958,Rhizobia,1,WSM
234,Australia,W6 5527,FL-StAug1,1,Soil
150,Italy,W6 5595,Buffer,1,Buffer
62,Portugal,PI 493293,PT-MRMtr1,0,Soil
293,Florida,Polatka-3,FL-StAug1,0,Soil
272,Florida,Polatka-3,PT-MRMtr1,0,Soil
76,Portugal,PI 493293,FL-Polatka1,0,Soil
194,Australia,PI 197336,FL-UF4,1,Soil
291,Florida,Polatka-3,FL-Rivercrest2,0,Soil
19,France ,W6 5326,FL-Rivercrest2,0,Soil
149,Italy,W6 5595,Buffer,1,Buffer
37,Spain,PI 319034,PT-GilNS2,0,Soil
351,Florida,St. Aug-13,FL-Rivercrest2,0,Soil
202,Australia,PI 197336,FL-StAug1,0,Soil
17,France ,W6 5326,FL-Polatka1,0,Soil
324,Chile,PI 368958,FL-StAug1,0,Soil
54,Spain,PI 319034,FL-StAug1,0,Soil
162,Portugal,PI 493291,PT-Frizeta2,0,Soil
92,Spain,W6 5325,PT-MRMtr1,0,Soil
15,France ,W6 5326,FL-UF4,0,Soil
91,Spain,W6 5325,PT-MRMtr1,0,Soil
262,California,Mt. Wilson-4,FL-StAug1,0,Soil
232,Australia,W6 5527,FL-StAug1,0,Soil
127,Italy,W6 5595,PT-GilNS2,1,Soil
169,Portugal,PI 493291,FL-Rivercrest2,1,Soil
13,France ,W6 5326,FL-UF4,0,Soil
360,Florida,St. Aug-13,Buffer,1,Buffer
221,Australia,W6 5527,PT-Frizeta2,0,Soil
61,Portugal,PI 493293,PT-MRMtr1,0,Soil
246,California,Mt. Wilson-4,PT-CMNS4,0,Soil
240,Australia,W6 5527,Buffer,1,Buffer
292,Florida,Polatka-3,FL-StAug1,0,Soil
29,France ,W6 5326,Buffer,1,Buffer
277,Florida,Polatka-3,PT-GilNS2,0,Soil
144,Italy,W6 5595,FL-StAug1,1,Soil
235,Australia,W6 5527,Rhizobia,1,WSM
295,Florida,Polatka-3,Rhizobia,1,WSM
248,California,Mt. Wilson-4,PT-GilNS2,0,Soil
321,Chile,PI 368958,FL-Rivercrest2,0,Soil
183,Australia,PI 197336,FL-Rivercrest2,0,Soil
230,Australia,W6 5527,FL-Rivercrest2,0,Soil
28,France ,W6 5326,Buffer,1,Buffer
65,Portugal,PI 493293,PT-CMNS4,0,Soil
8,France ,W6 5326,PT-GilNS2,0,Soil
