"Pot","Genotype","Habitat","Range","Position","Treatment","Inoculate","SoilConc","SoilLocation","Match","DeadOrAlive","WeekstoDie","RootWeight","ShootWeight","NodWeight","NodNum","PodNum","Shoot_Root"
52,"StAug2","FL","Invasive",24,9,"WSM","low","PT","Different","Alive",NA,0.0177,0.1183,0.0021,7,5,6.68361581920904
53,"StAug2","FL","Invasive",80,9,"WSM","low","PT","Different","Alive",NA,0.0428,0.399,0.0044,10,11,9.32242990654206
54,"StAug2","FL","Invasive",8,9,"WSM","low","PT","Different","Dead",1,NA,NA,NA,NA,NA,NA
55,"StAug2","FL","Invasive",111,10,"WSM","high","PT","Different","Dead",1,NA,NA,NA,NA,NA,NA
56,"StAug2","FL","Invasive",85,10,"WSM","high","PT","Different","Dead",1,NA,NA,NA,NA,NA,NA
57,"StAug2","FL","Invasive",39,10,"WSM","high","PT","Different","Alive",NA,0.0362,0.1971,0.0026,10,8,5.44475138121547
58,"StAug2","FL","Invasive",45,10,"WSM","high","PT","Different","Alive",NA,0.017,0.1582,5e-04,18,5,9.30588235294118
59,"StAug2","FL","Invasive",71,10,"WSM","high","PT","Different","Dead",1,NA,NA,NA,NA,NA,NA
60,"StAug2","FL","Invasive",37,10,"WSM","high","PT","Different","Alive",NA,0.0182,0.2013,0.0037,11,9,11.0604395604396
61,"PI493292","PT"," Native",53,1,"Buffer","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
62,"PI493292","PT"," Native",17,1,"Buffer","none","none",NA,"Alive",NA,0.0087,0.0072,NA,0,0,0.827586206896552
63,"PI493292","PT"," Native",101,1,"Buffer","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
64,"PI493292","PT"," Native",67,1,"Buffer","none","none",NA,"Alive",NA,0.0048,0.01,NA,0,0,2.08333333333333
65,"PI493292","PT"," Native",86,1,"Buffer","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
66,"PI493292","PT"," Native",40,1,"Buffer","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
67,"PI493292","PT"," Native",104,2,"WSM","none","none",NA,"Alive",NA,0.0868,0.2077,0.0086,29,0,2.39285714285714
68,"PI493292","PT"," Native",105,2,"WSM","none","none",NA,"Alive",NA,0.1134,0.1699,0.0056,30,1,1.49823633156966
69,"PI493292","PT"," Native",89,2,"WSM","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
70,"PI493292","PT"," Native",115,2,"WSM","none","none",NA,"Alive",NA,0.0673,0.48,0.0093,14,9,7.13224368499257
71,"PI493292","PT"," Native",64,2,"WSM","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
72,"PI493292","PT"," Native",9,2,"WSM","none","none",NA,"Dead",1,NA,NA,NA,NA,NA,NA
73,"PI493292","PT"," Native",43,3,"Buffer","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
74,"PI493292","PT"," Native",100,3,"Buffer","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
75,"PI493292","PT"," Native",79,3,"Buffer","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
76,"PI493292","PT"," Native",22,3,"Buffer","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
77,"PI493292","PT"," Native",31,3,"Buffer","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
78,"PI493292","PT"," Native",47,3,"Buffer","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
79,"PI493292","PT"," Native",99,4,"Buffer","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
80,"PI493292","PT"," Native",27,4,"Buffer","low","FL","Different","Alive",NA,0.0037,0.005,NA,0,0,1.35135135135135
81,"PI493292","PT"," Native",46,4,"Buffer","low","FL","Different","Alive",NA,0.009,0.0157,NA,0,0,1.74444444444444
82,"PI493292","PT"," Native",83,4,"Buffer","low","FL","Different","Alive",NA,0.0063,0.004,NA,0,0,0.634920634920635
83,"PI493292","PT"," Native",7,4,"Buffer","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
84,"PI493292","PT"," Native",81,4,"Buffer","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
