Pot,Genotype,Habitat,Range,Position,Treatment,Inoculate,SoilConc,SoilLocation,Match,DeadOrAlive,WeekstoDie
85,PI493292,PT, Native,88,5,WSM,low,FL,Different,Dead,1
86,PI493292,PT, Native,52,5,WSM,low,FL,Different,Dead,1
87,PI493292,PT, Native,33,5,WSM,low,FL,Different,Dead,1
88,PI493292,PT, Native,65,5,WSM,low,FL,Different,Alive,NA
89,PI493292,PT, Native,29,5,WSM,low,FL,Different,Alive,NA
90,PI493292,PT, Native,60,5,WSM,low,FL,Different,Dead,1
91,PI493292,PT, Native,59,6,WSM,high,FL,Different,Dead,1
92,PI493292,PT, Native,21,6,WSM,high,FL,Different,Dead,1
93,PI493292,PT, Native,84,6,WSM,high,FL,Different,Dead,1
94,PI493292,PT, Native,11,6,WSM,high,FL,Different,Alive,NA
95,PI493292,PT, Native,55,6,WSM,high,FL,Different,Alive,NA
96,PI493292,PT, Native,110,6,WSM,high,FL,Different,Alive,NA
97,PI493292,PT, Native,44,7,Buffer,high,PT,Same,Dead,1
98,PI493292,PT, Native,77,7,Buffer,high,PT,Same,Dead,1
99,PI493292,PT, Native,14,7,Buffer,high,PT,Same,Dead,1
100,PI493292,PT, Native,113,7,Buffer,high,PT,Same,Dead,1
101,PI493292,PT, Native,51,7,Buffer,high,PT,Same,Dead,1
102,PI493292,PT, Native,1,7,Buffer,high,PT,Same,Dead,1
103,PI493292,PT, Native,91,8,Buffer,low,PT,Same,Dead,1
104,PI493292,PT, Native,95,8,Buffer,low,PT,Same,Dead,1
105,PI493292,PT, Native,114,8,Buffer,low,PT,Same,Dead,1
106,PI493292,PT, Native,4,8,Buffer,low,PT,Same,Dead,1
107,PI493292,PT, Native,26,8,Buffer,low,PT,Same,Dead,1
108,PI493292,PT, Native,93,8,Buffer,low,PT,Same,Alive,NA
109,PI493292,PT, Native,41,9,WSM,low,PT,Same,Alive,NA
110,PI493292,PT, Native,103,9,WSM,low,PT,Same,Alive,NA
111,PI493292,PT, Native,10,9,WSM,low,PT,Same,Alive,NA
112,PI493292,PT, Native,23,9,WSM,low,PT,Same,Dead,1
113,PI493292,PT, Native,5,9,WSM,low,PT,Same,Alive,NA
114,PI493292,PT, Native,118,9,WSM,low,PT,Same,Alive,NA
115,PI493292,PT, Native,50,10,WSM,high,PT,Same,Dead,1
116,PI493292,PT, Native,49,10,WSM,high,PT,Same,Dead,1
117,PI493292,PT, Native,106,10,WSM,high,PT,Same,Dead,1
118,PI493292,PT, Native,15,10,WSM,high,PT,Same,Dead,1
119,PI493292,PT, Native,42,10,WSM,high,PT,Same,Dead,1
120,PI493292,PT, Native,87,10,WSM,high,PT,Same,Dead,1
