Pot..,Location,Genotype,Treatment,Dead_0,Treat,ShootWeight,RootWeight,NodWeight,NodNum,Shoot_Root,Range
70,Portugal,PI 493293,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Native
71,Portugal,PI 493293,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Native
72,Portugal,PI 493293,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Native
73,Portugal,PI 493293,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Native
74,Portugal,PI 493293,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Native
75,Portugal,PI 493293,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Native
76,Portugal,PI 493293,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
77,Portugal,PI 493293,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
78,Portugal,PI 493293,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
79,Portugal,PI 493293,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
80,Portugal,PI 493293,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
81,Portugal,PI 493293,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
82,Portugal,PI 493293,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
83,Portugal,PI 493293,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
84,Portugal,PI 493293,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
85,Portugal,PI 493293,Rhizobia,1,WSM,0.0075,0.0031,2.00E-04,15,2.419354839,Native
86,Portugal,PI 493293,Rhizobia,1,WSM,0.0215,0.0083,0.0041,52,2.590361446,Native
87,Portugal,PI 493293,Rhizobia,1,WSM,0.01606,0.0107,0.001,43,1.500934579,Native
88,Portugal,PI 493293,Buffer,1,Buffer,0.0092,0.0034,NA,NA,2.705882353,Native
89,Portugal,PI 493293,Buffer,1,Buffer,0.0102,0.0035,NA,NA,2.914285714,Native
90,Portugal,PI 493293,Buffer,1,Buffer,0.009,0.0019,NA,NA,4.736842105,Native
91,Spain,W6 5325,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Native
