Pot..,Location,Genotype,Treatment,Dead_0,Treat,ShootWeight,RootWeight,NodWeight,NodNum,Shoot_Root,Range
296,Florida,Polatka-3,Rhizobia,1,WSM,0.1173,0.0137,5.00E-04,19,8.562043796,Invaded
297,Florida,Polatka-3,Rhizobia,1,WSM,0.0137,0.0046,0.0012,13,2.97826087,Invaded
298,Florida,Polatka-3,Buffer,1,Buffer,NA,NA,NA,NA,NA,Invaded
299,Florida,Polatka-3,Buffer,1,Buffer,NA,NA,NA,NA,NA,Invaded
300,Florida,Polatka-3,Buffer,1,Buffer,NA,NA,NA,NA,NA,Invaded
301,Chile,PI 368958,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Invaded
302,Chile,PI 368958,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Invaded
303,Chile,PI 368958,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Invaded
304,Chile,PI 368958,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Invaded
305,Chile,PI 368958,PT-CMNS4,1,Soil,NA,NA,NA,NA,NA,Invaded
306,Chile,PI 368958,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Invaded
307,Chile,PI 368958,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Invaded
308,Chile,PI 368958,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Invaded
309,Chile,PI 368958,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Invaded
310,Chile,PI 368958,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Invaded
311,Chile,PI 368958,PT-Frizeta2,1,Soil,NA,NA,NA,NA,NA,Invaded
312,Chile,PI 368958,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Invaded
313,Chile,PI 368958,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Invaded
314,Chile,PI 368958,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Invaded
315,Chile,PI 368958,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Invaded
316,Chile,PI 368958,FL-Polatka1,1,Soil,NA,NA,NA,NA,NA,Invaded
317,Chile,PI 368958,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Invaded
318,Chile,PI 368958,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Invaded
319,Chile,PI 368958,FL-Rivercrest2,1,Soil,NA,NA,NA,NA,NA,Invaded
320,Chile,PI 368958,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Invaded
321,Chile,PI 368958,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Invaded
322,Chile,PI 368958,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Invaded
323,Chile,PI 368958,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Invaded
324,Chile,PI 368958,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Invaded
325,Chile,PI 368958,Rhizobia,1,WSM,0.0055,0.002,4.00E-04,7,2.75,Invaded
326,Chile,PI 368958,Rhizobia,1,WSM,0.0105,0.0044,7.00E-04,25,2.386363636,Invaded
327,Chile,PI 368958,Rhizobia,1,WSM,0.027,0.0053,0.0032,17,5.094339623,Invaded
328,Chile,PI 368958,Buffer,0,Buffer,NA,NA,NA,NA,NA,Invaded
329,Chile,PI 368958,Buffer,1,Buffer,0.0052,0.0041,NA,NA,1.268292683,Invaded
330,Chile,PI 368958,Buffer,1,Buffer,0.006,0.0057,NA,NA,1.052631579,Invaded
331,Florida,St. Aug-13,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Invaded
332,Florida,St. Aug-13,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Invaded
333,Florida,St. Aug-13,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Invaded
334,Florida,St. Aug-13,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Invaded
337,Florida,St. Aug-13,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Invaded
338,Florida,St. Aug-13,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Invaded
339,Florida,St. Aug-13,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Invaded
343,Florida,St. Aug-13,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Invaded
344,Florida,St. Aug-13,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Invaded
345,Florida,St. Aug-13,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Invaded
346,Florida,St. Aug-13,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Invaded
351,Florida,St. Aug-13,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Invaded
352,Florida,St. Aug-13,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Invaded
353,Florida,St. Aug-13,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Invaded
354,Florida,St. Aug-13,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Invaded
355,Florida,St. Aug-13,Rhizobia,1,WSM,0.0085,0.0014,1.00E-04,11,6.071428571,Invaded
356,Florida,St. Aug-13,Rhizobia,1,WSM,0.0041,0.0019,9.00E-04,19,2.157894737,Invaded
357,Florida,St. Aug-13,Rhizobia,1,WSM,0.0025,7.00E-04,1.00E-04,6,3.571428571,Invaded
358,Florida,St. Aug-13,Buffer,1,Buffer,NA,NA,NA,NA,NA,Invaded
359,Florida,St. Aug-13,Buffer,1,Buffer,NA,NA,NA,NA,NA,Invaded
360,Florida,St. Aug-13,Buffer,1,Buffer,NA,NA,NA,NA,NA,Invaded
